index,Barcode,Multiplex_key,Number_of_reads,Block,Line,Germination_cohort,Shape,FloweringDOY,Flowered_by_collection,Leaf_area_cm2,Perimeter_cm,Circularity,Round,Solidity
146,VAL12505755_PCR-C03,FLD_ill_019_i7-IDT_i5_7,"52,704",2,654,2,M,247,Y,27.695,30.241,0.381,0.889,0.741
147,VAL12505754_PCR-D04,FLD_ill_028_i7-IDT_i5_7,"32,953",2,1237,2,L,247,Y,26.194,36.395,0.249,0.916,0.697
148,VAL12505756_PCR-A11,FLD_ill_081_i7-IDT_i5_4,"53,125",2,1241,1,M,247,Y,36.421,33.209,0.415,0.889,0.766
149,VAL12505754_PCR-F11,FLD_ill_086_i7-IDT_i5_2,"45,641",2,861,1,L,247,Y,26.395,NA,NA,NA,NA
150,VAL12505755_PCR-D09,FLD_ill_068_i7-IDT_i5_1,"58,658",2,1262,1,M,240,Y,28.801,31.437,0.366,0.944,0.771
151,VAL12505755_PCR-G02,FLD_ill_015_i7-IDT_i5_6,"57,513",2,947,1,M,247,Y,39.075,34.253,0.419,0.914,0.813
152,VAL12505754_PCR-F02,FLD_ill_014_i7-IDT_i5_5,"36,055",2,477,1,L,240,Y,29.714,34.146,0.32,0.961,0.734
153,VAL12505755_PCR-D10,FLD_ill_076_i7-IDT_i5_2,"51,466",2,1091,2,M,247,Y,39.175,36.212,0.375,0.994,0.776
154,VAL12505755_PCR-F02,FLD_ill_014_i7-IDT_i5_6,"38,165",2,1231,1,H,247,Y,32.937,25.13,0.655,0.912,0.929
155,VAL12505755_PCR-G04,FLD_ill_031_i7-IDT_i5_8,"45,399",2,1078,1,M,240,Y,35.953,NA,NA,NA,NA
156,VAL12505755_PCR-G01,FLD_ill_007_i7-IDT_i5_5,"31,769",2,427,2,H,NA,N,27.895,23.466,0.637,0.993,0.912
157,VAL12505754_PCR-A11,FLD_ill_081_i7-IDT_i5_2,"33,687",2,1015,2,M,247,Y,34.668,NA,NA,NA,NA
158,VAL12505754_PCR-H07,FLD_ill_056_i7-IDT_i5_10,"42,624",2,1199,2,H,247,Y,35.632,25.783,0.674,0.955,0.941
159,VAL12505754_PCR-A06,FLD_ill_041_i7-IDT_i5_9,"46,427",2,195,1,M,240,Y,27.347,29.228,0.402,0.969,0.787
160,VAL12505754_PCR-E02,FLD_ill_013_i7-IDT_i5_5,"51,195",2,205,2,M,NA,N,24.508,29.248,0.36,0.848,0.709
161,VAL12505755_PCR-C02,FLD_ill_011_i7-IDT_i5_6,"47,922",3,717,1,M,240,Y,36.531,34.493,0.386,0.953,0.768
162,VAL12505754_PCR-H04,FLD_ill_032_i7-IDT_i5_7,"41,797",3,946,2,M,NA,N,22.697,NA,NA,NA,NA
163,VAL12505754_PCR-C09,FLD_ill_067_i7-IDT_i5_12,"50,105",3,891,2,H,NA,N,28.469,23.104,0.67,0.914,0.894
164,VAL12505755_PCR-F04,FLD_ill_030_i7-IDT_i5_8,"59,499",3,477,2,L,247,Y,38.33,37.854,0.336,0.965,0.748
165,VAL12505754_PCR-C08,FLD_ill_059_i7-IDT_i5_11,"51,712",3,208,2,M,247,Y,28.298,28.868,0.427,0.902,0.802
166,VAL12505754_PCR-G05,FLD_ill_039_i7-IDT_i5_8,"39,999",3,195,2,L,247,Y,38.712,38.322,0.331,0.865,0.781
167,VAL12505754_PCR-D11,FLD_ill_084_i7-IDT_i5_2,"41,172",3,815,1,L,240,Y,29.406,33.83,0.323,0.888,0.737
168,VAL12505754_PCR-D12,FLD_ill_092_i7-IDT_i5_3,"17,952",3,509,2,H,247,Y,22.355,20.661,0.658,0.941,0.936
169,VAL12505755_PCR-A05,FLD_ill_033_i7-IDT_i5_9,"49,567",3,1172,1,M,247,Y,26.927,NA,NA,NA,NA
170,VAL12505755_PCR-A06,FLD_ill_041_i7-IDT_i5_10,"55,354",3,616,2,M,247,Y,30.52,27.279,0.515,0.906,0.83
171,,,,,,,,,,,,,,
172,VAL12505755_PCR-C01,FLD_ill_003_i7-IDT_i5_5,"35,100",3,991,2,M,247,Y,39.681,33.64,0.441,0.961,0.792
173,VAL12505754_PCR-D05,FLD_ill_036_i7-IDT_i5_8,"30,521",3,1147,2,M,247,Y,40.902,36.227,0.392,0.913,0.798
174,VAL12505754_PCR-B07,FLD_ill_050_i7-IDT_i5_10,"25,518",3,681,2,M,247,Y,34.045,NA,NA,NA,NA
175,VAL12505754_PCR-G06,FLD_ill_047_i7-IDT_i5_9,"25,699",3,1253,2,M,247,Y,32.798,30.181,0.452,0.904,0.788
176,VAL12505755_PCR-D01,FLD_ill_004_i7-IDT_i5_5,"59,329",3,778,1,H,240,Y,26.903,23.143,0.631,0.964,0.885
177,VAL12505754_PCR-H08,FLD_ill_064_i7-IDT_i5_11,"32,228",3,611,2,H,247,Y,38.032,26.411,0.685,0.917,0.941
178,VAL12505755_PCR-H05,FLD_ill_040_i7-IDT_i5_9,"58,687",3,742,2,M,NA,N,29.299,30.528,0.395,0.911,0.82
179,VAL12505756_PCR-B11,FLD_ill_082_i7-IDT_i5_4,"60,076",3,1099,2,M,NA,N,34.292,33.823,0.377,0.959,0.747
180,VAL12505755_PCR-C09,FLD_ill_067_i7-IDT_i5_1,"45,888",3,318,2,H,247,Y,25.862,22.765,0.627,0.943,0.918
181,VAL12505754_PCR-A05,FLD_ill_033_i7-IDT_i5_8,"49,164",3,1163,1,M,240,Y,30.095,31.91,0.371,0.95,0.739
182,VAL12505754_PCR-A09,FLD_ill_065_i7-IDT_i5_12,"45,089",3,1241,2,M,247,Y,44.261,36.314,0.422,0.951,0.77
183,VAL12505754_PCR-A02,FLD_ill_009_i7-IDT_i5_5,"43,907",3,1023,1,M,247,Y,46.9,NA,NA,NA,NA
184,VAL12505754_PCR-A03,FLD_ill_017_i7-IDT_i5_6,"33,284",3,113,2,L,NA,N,38.673,NA,NA,NA,NA
185,VAL12505754_PCR-A10,FLD_ill_073_i7-IDT_i5_1,"43,473",3,351,1,M,247,Y,32.074,NA,NA,NA,NA
186,VAL12505754_PCR-A12,FLD_ill_089_i7-IDT_i5_3,"37,985",3,1158,1,M,228,Y,47.178,39.795,0.374,0.884,0.775
187,VAL12505754_PCR-D10,FLD_ill_076_i7-IDT_i5_1,"45,992",3,841,2,M,247,Y,23.879,NA,NA,NA,NA
188,VAL12505756_PCR-B03,FLD_ill_018_i7-IDT_i5_8,"52,346",3,1237,2,H,NA,N,31.629,25.155,0.628,0.976,0.927
189,VAL12505754_PCR-A01,FLD_ill_001_i7-IDT_i5_4,"32,341",3,904,2,M,NA,N,22.432,26.192,0.411,0.888,0.794
190,VAL12505756_PCR-A01,FLD_ill_001_i7-IDT_i5_6,"57,120",3,1262,2,L,NA,N,29.702,38.625,0.25,0.859,0.72
191,VAL12505755_PCR-H12,FLD_ill_096_i7-IDT_i5_4,"60,231",3,379,2,M,247,Y,36.67,33.944,0.4,0.944,0.796
192,,,,,,,,,,,,,,
193,VAL12505755_PCR-E06,FLD_ill_045_i7-IDT_i5_10,"56,927",3,560,2,H,247,Y,37.798,26.489,0.677,0.944,0.924
194,VAL12505755_PCR-B01,FLD_ill_002_i7-IDT_i5_5,"46,186",3,1238,2,M,NA,N,29.462,29.695,0.42,0.966,0.758
195,VAL12505755_PCR-C10,FLD_ill_075_i7-IDT_i5_2,"29,748",3,16,2,M,247,Y,20.109,44.715,0.126,0.942,0.602
196,VAL12505755_PCR-C07,FLD_ill_051_i7-IDT_i5_11,"53,351",3,1192,1,H,247,Y,38.471,26.304,0.699,0.908,0.925
